Artist ID,Name,Nationality,Gender,Birth Year,Death Year
1,Robert Arneson,American,Male,1930,1992
2,Doroteo Arnaiz,Spanish,Male,1936,-1
3,Bill Arnold,American,Male,1941,-1
4,Charles Arnoldi,American,Male,1946,-1
5,Per Arnoldi,Danish,Male,1941,-1
6,Danilo Aroldi,Italian,Male,1925,-1
7,Bill Aron,American,Male,1941,-1
9,David Aronson,American,Male,1923,-1
10,Irene Aronson,American,Female,1918,-1
11,Jean (Hans) Arp,French,Male,1886,1966
12,Jüri Arrak,Estonian,Male,1936,-1
13,J. Arrelano Fischer,Mexican,Male,1911,1995
15,Folke Arstrom,Swedish,Male,1907,1997
16,Cristobal Arteche,Spanish,Male,1900,1964
18,Artko,Unknown,Unknown,1936,-1
19,Richard Artschwager,American,Male,1923,2013
21,Ruth Asawa,American,Female,1926,2013
22,Isidora Aschheim,Israeli,Female,1936,-1
23,Charles Robert Ashbee,British,Male,1863,1942
24,Donald Ashcraft,American,Male,1927,-1
25,E. M. Ashe,American,Male,1867,1941
26,Göran Åslin,Swedish,Unknown,1940,-1
27,Erik Gunnar Asplund,Swedish,Male,1885,1940
28,Geneviève Asse,French,Female,1923,-1
30,Sergio Asti,Italian,Male,1926,-1
31,Dana Atchley,American,Female,1941,2000
32,Atelier Eggers,French,Unknown,1936,-1
33,A.A.P.,American,Unknown,1936,-1
34,Alvar Aalto,Finnish,Male,1898,1976
35,Aino Aalto,Finnish,Female,1894,1949
36,Eero Aarnio,Finnish,Male,1932,-1
37,Jules Aarons,American,Male,1921,2008
38,Magdalena Abakanowicz,Polish,Female,1930,-1
39,James Abbe,American,Male,1883,1973
40,Jussuff Abbo,British,Male,1888,1953
41,Berenice Abbott,American,Female,1898,1991
42,Nobuya Abe,Japanese,Male,1913,1971
43,Abe Shiro (pen Name: Suichiku),Japanese,Male,1900,-1
44,Robert Abel,American,Male,1937,-1
46,Sigmund Abeles,American,Male,1934,-1
47,Raimund Abraham,American,Male,1933,2010
49,Ivor Abrahams,British,Male,1935,-1
50,Gerald Abramovitz,British,Male,1928,2011
51,William Ross Abrams,American,Male,1920,2007
52,Rodolfo Abularach,Guatemalan,Male,1933,-1
53,Vito Acconci,American,Male,1940,-1
54,Milton Ackoff,American,Male,1915,-1
55,Norman Ackroyd,British,Male,1936,-1
56,Luis Alberto Acuña,Colombian,Male,1904,1994
57,Henri Georges Adam,French,Male,1904,1967
58,Antoine Samuel Adam-Salomon,French,Male,1818,1881
59,Valerio Adami,Italian,Male,1935,-1
60,Ansel Adams,American,Male,1902,1984
61,Alice Adams,American,Female,1930,-1
62,Clinton Adams,American,Male,1918,2002
63,Dacres Adams,British,Male,1864,1951
64,Dennis Adams,American,Male,1948,-1
65,Kenneth M. Adams,American,Male,1897,1966
